contr,Precise,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,ctrcheck,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q6_1,Q6_2,Q6_3,Q9,Q10,Q11,Q32,Q33,Q34,Q35,Purchase,Plaus,NFS,PreCheck,Individual,Collectivism,Culture,Culgroup,NFS44,confidence22,confid
1,0,4,3,4,2,2,3,2,6,6,5,6,6,4,6,6,5,3,5,6,5,3,2,5,6,5,4,6,6,6,3,5,3,4,3,5,6,5,5,0,35,2,2,3.66666666666667,2.33333333333333,4.75,5.33333333333333,5.625,4.25,1.375,2,2,5,4.66666666666667
1,0,6,5,5,6,5,6,2,7,7,5,6,6,5,7,5,4,4,5,5,5,6,5,7,3,2,6,3,2,3,3,3,4,3,4,5,6,5,5,0,62,2,3,5.33333333333333,5.66666666666667,3.25,5.33333333333333,6,5.125,.875,2,5,4,4
1,0,6,7,7,6,5,3,2,7,6,3,6,4,1,5,5,7,4,6,7,6,5,7,5,5,6,7,3,3,5,3,7,3,4,4,3,5,6,6,0,27,2,3,6.66666666666667,4.66666666666667,4.875,5.66666666666667,4.625,5.875,-1.25,1,5,4,3.66666666666667
1,0,4,3,2,4,2,2,2,5,5,6,6,6,6,6,7,5,4,5,5,5,3,2,5,3,3,4,5,2,2,3,2,3,4,2,5,4,3,2,0,20,3,2,3,2.66666666666667,2.75,3,5.875,4.25,1.625,2,5,6,5
1,0,4,3,2,7,6,6,1,6,7,7,7,4,3,4,5,4,2,3,3,1,4,3,4,6,6,7,2,6,7,7,7,6,5,4,4,5,6,6,0,22,3,2,3,6.33333333333333,6.5,5.66666666666667,5.375,3,2.375,2,6,4,4.33333333333333
1,0,5,4,4,5,4,5,1,5,6,5,5,7,6,5,6,3,2,3,2,6,5,6,5,5,6,7,2,3,6,5,6,5,7,6,6,5,4,5,1,36,3,5,4.33333333333333,4.66666666666667,5.375,4.66666666666667,5.625,4,1.625,2,6,2,5
1,0,3,3,3,3,3,4,1,6,5,4,5,4,4,5,4,4,4,4,5,5,5,5,5,3,3,4,5,2,2,3,2,3,4,4,4,4,5,4,1,22,3,3,3,3.33333333333333,2.75,4.33333333333333,4.625,4.625,0,1,4,4,4
1,0,1,2,1,5,5,3,1,6,7,6,7,5,5,6,5,6,5,6,6,7,7,6,7,7,2,6,1,6,7,7,6,6,5,7,7,2,2,1,0,33,3,3,1.33333333333333,4.33333333333333,5.875,1.66666666666667,5.875,6.25,-.375,1,7,1,4.33333333333333
1,0,3,4,3,5,6,5,1,6,6,5,6,6,4,4,5,5,3,5,5,6,5,4,5,5,5,3,6,5,3,4,5,5,3,3,5,4,5,4,1,29,3,3,3.33333333333333,5.33333333333333,4.375,4.33333333333333,5.25,4.75,.5,2,2,5,4.33333333333333
1,0,4,4,3,5,4,5,1,7,7,5,5,7,5,5,4,4,2,4,6,7,3,2,3,6,6,7,2,6,6,6,7,6,5,3,6,5,6,5,0,38,3,4,3.66666666666667,4.66666666666667,6.25,5.33333333333333,5.625,3.875,1.75,2,6,5,5.33333333333333
1,0,5,7,6,5,6,7,1,6,5,5,6,4,2,6,5,4,2,4,6,2,2,3,5,2,5,5,3,3,4,3,6,5,5,2,4,6,7,6,1,36,3,4,6,6,4.125,6.33333333333333,4.875,3.5,1.375,2,5,6,5
1,0,3,2,3,3,4,4,1,5,5,6,4,3,4,5,2,3,2,3,3,4,5,4,3,5,5,5,4,5,6,5,5,6,5,5,5,3,4,3,1,19,2,2,2.66666666666667,3.66666666666667,5.25,3.33333333333333,4.25,3.375,.875,2,4,3,4.33333333333333
1,0,6,5,6,3,2,4,1,5,6,7,7,5,4,6,4,2,1,3,6,6,5,4,6,5,4,7,1,3,5,6,7,6,2,4,3,6,4,2,0,47,3,4,5.66666666666667,3,5.375,4,5.5,4.125,1.375,2,7,4,3
1,0,5,4,3,7,6,7,1,7,6,5,7,6,4,7,3,5,2,6,7,3,4,5,5,5,3,7,2,4,5,4,7,3,5,4,6,5,3,4,0,37,3,4,4,6.66666666666667,4.75,4,5.625,4.625,1,2,6,4,5
1,0,6,6,7,6,5,5,1,5,6,5,5,6,4,5,3,7,5,6,6,5,6,7,6,5,5,6,3,5,7,6,6,5,6,2,5,6,5,5,0,30,3,3,6.33333333333333,5.33333333333333,5.625,5.33333333333333,4.875,6,-1.125,1,5,6,5.66666666666667
1,0,6,7,6,6,7,5,1,6,7,7,6,6,3,7,5,4,4,6,7,7,6,3,5,6,2,4,5,3,2,3,2,1,6,2,5,7,6,7,1,30,3,3,6.33333333333333,6,2.875,6.66666666666667,5.875,5.25,.625,2,3,6,5.66666666666667
1,0,5,5,5,5,5,5,1,6,6,6,7,6,3,6,6,5,5,5,5,6,6,6,6,5,6,6,3,6,6,6,7,6,5,2,6,5,6,5,1,35,4,4,5,5,6,5.33333333333333,5.75,5.5,.25,2,5,6,5.66666666666667
1,0,6,6,5,6,5,5,1,7,6,5,6,6,4,7,5,3,2,3,5,6,5,5,6,5,7,5,2,6,7,6,5,6,5,2,5,4,6,6,1,33,3,2,5.66666666666667,5.33333333333333,5.875,5.33333333333333,5.75,4.375,1.375,2,6,6,5.33333333333333
1,0,5,6,5,5,5,6,1,7,5,6,5,7,4,6,4,5,4,5,7,5,7,6,6,5,6,4,2,5,4,6,6,7,5,4,6,5,6,5,0,38,4,4,5.33333333333333,5.33333333333333,5.375,5.33333333333333,5.5,5.625,-.125,1,6,4,5
1,0,2,1,1,3,3,2,1,6,5,6,4,6,6,7,5,1,1,4,4,1,3,3,5,3,2,3,6,4,2,3,2,2,3,5,3,7,7,7,0,22,3,2,1.33333333333333,2.66666666666667,2.63,7,5.625,2.75,2.875,2,3,3,3
1,0,5,5,6,5,6,6,1,7,6,6,4,5,5,6,5,4,4,5,6,7,6,6,5,4,5,5,2,6,7,6,6,5,5,3,5,7,5,7,1,25,3,3,5.33333333333333,5.66666666666667,5.5,6.33333333333333,5.5,5.375,.125,2,6,5,5
1,0,3,2,2,3,3,2,1,6,6,5,6,6,4,6,3,5,4,5,5,7,7,7,5,5,6,5,3,2,6,6,6,6,5,3,4,3,2,2,1,28,3,3,2.33333333333333,2.66666666666667,5.25,2.33333333333333,5.25,5.625,-.375,1,5,5,4.66666666666667
1,0,5,4,4,5,5,5,1,5,5,6,6,6,7,7,6,6,6,7,7,6,7,2,7,7,6,3,6,6,7,7,2,6,5,5,6,4,3,4,1,45,5,5,4.33333333333333,5,5.5,3.66666666666667,6,6,0,1,2,3,4.66666666666667
1,0,5,6,6,5,5,6,1,5,6,6,2,2,1,6,3,6,6,6,5,5,2,6,6,3,2,3,5,5,6,6,5,2,6,6,7,5,3,5,0,21,3,2,5.66666666666667,5.33333333333333,4,4.33333333333333,3.875,5.25,-1.375,1,3,2,5
1,0,7,7,6,3,4,6,1,6,4,5,7,5,2,7,5,5,2,4,4,2,1,3,4,7,6,5,5,6,7,5,6,5,6,4,4,7,6,5,0,22,3,2,6.66666666666667,4.33333333333333,5.875,6,5.125,3.125,2,2,3,4,4.66666666666667
1,0,3,2,2,5,5,5,1,7,6,7,7,6,2,4,3,5,3,5,4,3,3,1,5,6,6,7,4,5,7,5,7,6,3,5,3,3,2,3,0,21,3,2,2.33333333333333,5,6.125,2.66666666666667,5.25,3.625,1.625,2,4,3,3
1,0,5,6,5,4,5,5,1,7,6,5,5,6,5,6,5,5,4,6,6,7,6,5,6,6,5,6,3,5,5,6,6,5,4,3,3,5,6,5,0,50,3,4,5.33333333333333,4.66666666666667,5.5,5.33333333333333,5.625,5.625,0,1,5,5,4
1,0,6,5,5,5,6,5,1,4,2,3,2,2,1,2,3,6,5,5,7,6,5,5,6,6,5,6,2,6,6,5,6,5,6,2,5,6,5,5,0,34,4,5,5.33333333333333,5.33333333333333,5.625,5.33333333333333,2.375,5.625,-3.25,1,6,6,5.66666666666667
1,0,1,1,1,2,2,2,1,2,2,2,1,2,1,2,2,7,6,6,7,7,6,5,6,2,2,1,1,2,2,2,1,2,1,7,1,3,3,3,0,27,3,3,1,2,1.75,3,1.75,6.25,-4.5,1,7,1,1
1,0,5,6,5,5,6,5,1,6,5,6,6,6,5,5,3,5,5,6,6,6,6,7,6,2,3,6,2,6,5,5,6,5,6,2,6,5,6,5,1,44,3,3,5.33333333333333,5.33333333333333,4.75,5.33333333333333,5.25,5.875,-.625,1,6,6,6
1,0,5,3,2,2,3,3,1,6,5,6,5,5,5,7,6,4,5,5,6,6,6,7,6,5,4,6,4,5,7,5,4,4,5,4,6,2,3,3,0,33,3,3,3.33333333333333,2.66666666666667,5,2.66666666666667,5.625,5.625,0,1,4,4,5
1,0,4,5,5,5,6,6,1,5,6,6,7,4,3,5,5,3,1,5,4,6,4,3,5,5,6,5,3,5,7,5,5,5,5,3,3,4,5,5,0,34,3,2,4.66666666666667,5.66666666666667,5.375,4.66666666666667,5.125,3.875,1.25,2,5,5,4.33333333333333
1,0,7,7,6,5,6,6,1,2,3,4,2,5,1,3,2,6,5,7,7,5,5,4,6,2,1,5,3,5,6,5,7,6,7,1,7,7,7,6,0,41,3,4,6.66666666666667,5.66666666666667,4.625,6.66666666666667,2.75,5.625,-2.875,1,5,7,7
1,0,2,2,2,3,3,2,1,6,6,5,7,4,2,6,6,3,3,2,5,6,3,6,2,6,4,3,4,5,6,6,6,5,5,3,5,6,6,3,0,45,4,4,2,2.66666666666667,5.125,5,5.25,3.75,1.5,2,4,5,5
1,0,3,3,2,3,4,2,1,6,7,6,4,4,2,5,4,6,4,6,6,4,6,4,6,6,7,5,3,5,6,7,7,6,3,4,4,4,2,4,0,25,4,3,2.66666666666667,3,6.125,3.33333333333333,4.75,5.25,-.5,1,5,4,3.66666666666667
1,0,4,5,4,5,6,5,1,6,5,6,5,5,4,5,5,5,4,3,4,6,5,5,5,7,6,5,3,6,6,6,6,5,6,3,4,5,6,5,0,23,3,2,4.33333333333333,5.33333333333333,5.875,5.33333333333333,5.125,4.625,.5,2,5,5,5
1,0,3,2,1,3,2,2,1,6,5,6,3,2,1,5,4,3,1,4,5,5,2,6,5,6,7,7,3,6,7,5,7,5,4,2,4,2,5,3,0,32,3,3,2,2.33333333333333,6.25,3.33333333333333,4,3.875,.125,2,5,6,4.66666666666667
1,0,6,5,6,5,4,4,1,6,6,5,5,5,4,5,2,6,5,6,6,6,7,5,6,5,5,6,4,4,5,4,5,4,4,4,4,5,4,5,0,51,3,4,5.66666666666667,4.33333333333333,4.75,4.66666666666667,4.75,5.875,-1.125,1,4,4,4
1,0,6,5,5,6,5,5,1,6,5,5,4,6,5,5,6,2,3,3,1,2,2,3,3,3,4,2,3,3,2,3,4,4,6,2,4,6,5,5,0,31,3,3,5.33333333333333,5.33333333333333,3.125,5.33333333333333,5.25,2.375,2.875,2,5,6,5.33333333333333
1,0,4,3,3,3,3,4,1,6,7,6,7,5,4,4,6,4,3,5,5,6,5,6,3,5,6,6,3,5,6,7,6,5,4,3,3,3,3,4,0,29,3,4,3.33333333333333,3.33333333333333,5.75,3.33333333333333,5.625,4.625,1,2,5,5,4
1,0,2,1,1,3,4,4,1,6,5,4,5,4,2,5,5,4,4,3,4,4,3,2,5,5,5,5,3,5,6,6,6,7,3,4,4,2,2,4,0,23,3,2,1.33333333333333,3.66666666666667,5.625,2.66666666666667,4.5,3.625,.875,2,5,4,3.66666666666667
1,0,5,6,5,5,6,5,1,6,6,7,5,6,7,6,5,2,3,3,5,6,5,4,5,5,6,5,6,6,7,6,5,6,5,2,5,5,6,6,1,46,3,3,5.33333333333333,5.33333333333333,5.75,5.66666666666667,6,4.125,1.875,2,2,6,5.33333333333333
1,0,6,4,4,4,5,5,1,6,5,6,7,6,5,6,4,3,3,5,5,6,6,5,4,6,6,5,4,5,6,6,5,6,5,3,4,5,6,6,1,36,2,3,4.66666666666667,4.66666666666667,5.625,5.66666666666667,5.625,4.625,1,2,4,5,4.66666666666667
1,0,3,3,2,4,3,3,1,5,5,5,5,4,3,4,4,4,5,5,5,5,6,5,5,5,5,6,4,5,5,5,5,4,4,4,3,4,4,5,0,22,3,2,2.66666666666667,3.33333333333333,5,4.33333333333333,4.375,5,-.625,1,4,4,3.66666666666667
1,0,3,2,2,3,3,2,1,6,6,5,6,5,3,4,3,4,4,4,5,3,4,4,5,5,5,4,3,4,6,5,6,4,4,4,5,3,5,2,0,35,3,4,2.33333333333333,2.66666666666667,4.875,3.33333333333333,4.75,4.125,.625,2,5,4,4.33333333333333
1,0,6,6,5,6,5,5,1,5,6,6,5,5,7,6,2,5,6,6,7,6,5,5,5,3,3,7,2,6,7,6,6,4,6,2,6,5,6,6,0,56,5,4,5.66666666666667,5.33333333333333,5.25,5.66666666666667,5.25,5.625,-.375,1,6,6,6
1,0,3,2,2,6,5,6,1,7,5,6,4,7,6,7,6,4,3,5,2,4,5,5,6,6,3,2,5,5,7,4,3,5,3,5,4,7,6,4,0,21,3,2,2.33333333333333,5.66666666666667,4.375,5.66666666666667,6,4.25,1.75,2,3,3,3.33333333333333
1,0,3,2,2,3,2,2,1,3,2,5,5,6,6,6,7,2,3,2,5,3,6,6,2,5,6,2,6,2,3,2,5,6,2,2,4,5,6,5,0,22,3,1,2.33333333333333,2.33333333333333,3.875,5.33333333333333,5,3.625,1.375,2,2,6,4
1,0,5,6,5,6,5,6,1,6,5,6,6,5,5,6,3,3,2,3,3,2,2,3,2,5,6,5,2,6,5,5,6,5,5,3,5,6,5,5,0,23,3,3,5.33333333333333,5.66666666666667,5.375,5.33333333333333,5.25,2.5,2.75,2,6,5,5
1,0,5,4,4,4,4,5,1,6,6,7,6,4,3,2,4,6,5,6,7,7,6,6,7,2,3,5,3,4,4,3,5,4,6,2,5,3,2,4,1,28,3,4,4.33333333333333,4.33333333333333,3.75,3,4.75,6.25,-1.5,1,5,6,5.66666666666667
