index,totalseconds,totalvalue,Q1,Q2,Q3,Q4,Q5,Q6
119,19,7,2,7,7,2380667,2,27
37,30,5,2,5,5,2380679,1,25
102,37,1,1,1, ,2380515,1,26
46,22,7,2,7,7,2380491,1,26
9,18,3,1,3, ,2380510,1,27
14,25,4,1,4, ,2380561,1,27
19,19,1,1,1, ,2380583,2,27
38,15,1,1,1, ,2380704,1,27
44,20,4,1,4, ,2380621,2,27
62,22,1,1,1, ,2380695,1,27
66,31,4,1,4, ,2380588,1,27
75,27,1,1,1, ,2380689,1,27
91,53,3,1,3, ,2380685,1,27
10,19,4,2,4,4,2380719,2,27
17,22,5,2,5,5,2380623,1,27
47,29,4,2,4,4,2380693,1,27
82,19,7,2,7,7,2380439,1,27
121,17,5,2,5,5,2380578,1,27
128,13,5,2,5,5,2380663,2,27
3,14,2,1,2, ,2380541,1,28
16,23,3,1,3, ,2380684,1,28
22,27,2,1,2, ,2380536,2,28
57,31,1,1,1, ,2380699,2,28
63,23,2,1,2, ,2380677,1,28
103,16,4,1,4, ,2380530,2,28
116,22,1,1,1, ,2380431,2,28
122,17,4,1,4, ,2380690,1,28
129,13,2,1,2, ,2380498,1,28
135,15,4,1,4, ,2380342,1,28
5,17,4,2,4,4,2380500,1,28
8,20,4,2,4,4,2380572,1,28
20,26,5,2,5,5,2380519,2,28
56,20,6,2,6,6,2380534,1,28
69,33,3,2,3,3,2380331,1,28
126,18,6,2,6,6,2380610,1,28
4,15,1,1,1, ,2380694,1,29
68,18,5,1,5, ,2380547,2,29
73,22,1,1,1, ,2380697,1,29
80,13,1,1,1, ,2380675,1,29
98,20,2,1,2, ,2380592,1,29
125,14,2,1,2, ,2380497,2,29
134,15,2,1,2, ,12380628,1,29
24,22,4,2,4,4,2380488,1,29
50,32,5,2,5,5,2380538,1,29
104,48,4,2,4,4,2380576,1,29
105,17,6,2,6,6,2380462,1,29
110,24,5,2,5,5,2380639,2,29
7,13,1,1,1, ,2380616,1,30
23,27,3,1,3, ,2380602,1,30
41,30,2,1,2, ,2380653,1,30
43,17,1,1,1, ,2380642,2,30
55,43,3,1,3, ,2380651,2,30
93,24,4,1,4, ,2380517,1,30
137,22,3,1,3, ,2380507,1,30
36,18,7,2,7,7,2380656,1,30
42,15,3,2,3,3,2380712,1,30
54,39,5,2,5,5,2380562,1,30
60,19,4,2,4,4,2380412,1,30
74,31,4,2,4,4,2380681,1,30
89,37,3,2,3,3,2380512,1,30
92,32,7,2,7,7,2380451,2,30
106,23,7,2,7,7,2380701,1,30
21,18,1,1,1, ,2380573,1,31
27,25,1,1,1, ,2380526,1,31
28,25,2,1,2, ,2380652,2,31
59,33,3,1,3, ,2380268,1,31
130,14,1,1,1, ,2380595,1,31
29,11,7,2,7,7,2380546,2,31
31,24,4,2,4,4,2380717,1,31
127,17,6,2,6,6,2380494,1,31
132,24,3,2,3,3,2380469,1,31
1,15,7,1,7, ,2380724,2,32
34,31,3,1,3, ,2380580,1,32
39,17,4,1,4, ,2380550,1,32
87,21,1,1,1, ,2380708,1,32
18,19,6,2,6,6,2380706,1,32
64,33,5,2,5,5,2380553,2,32
65,27,5,2,5,5,2380723,2,32
45,31,1,1,1, ,2380570,2,33
48,20,3,1,3, ,2380374,2,33
86,35,4,1,4, ,2380579,2,33
2,18,6,2,6,6,2380650,1,33
70,28,3,2,3,3,2380478,2,33
84,22,7,2,7,7,2380492,1,33
95,17,7,2,7,7,2380487,2,33
101,36,3,2,3,3,2380676,1,33
107,26,4,2,4,4,2380294,1,33
111,32,7,2,7,7,2380567,1,33
113,47,4,2,4,4,2380669,2,33
12,15,2,2,2,2,2380687,1,34
58,22,4,2,4,4,2380657,2,34
131,18,7,2,7,7,2380605,1,34
25,20,1,1,1, ,2380520,2,35
49,22,1,1,1, ,2380624,2,35
71,34,1,1,1, ,2380484,2,35
85,25,1,1,1, ,2380703,2,35
114,89,3,1,3, ,2380558,2,35
123,13,4,1,4, ,2380597,2,35
26,13,4,2,4,4,2380563,2,35
35,27,5,2,5,5,2380630,2,35
53,23,4,2,4,4,2380287,1,35
83,22,7,2,7,7,2380551,2,35
120,25,3,2,3,3,2380376,2,35
67,35,1,2,1,1,2380503,1,36
94,36,6,2,6,6,2380659,1,36
133,16,7,2,7,7,2380535,1,36
30,16,1,1,1, ,2380493,2,37
51,19,1,1,1, ,2380543,2,37
81,22,1,1,1, ,2380548,2,37
99,47,3,1,3, ,2380496,2,37
109,21,2,1,2, ,2380514,1,37
33,22,3,2,3,3,2380559,2,37
72,40,2,2,2,2,2380564,2,37
90,44,5,2,5,5,2380643,1,37
97,31,4,2,4,4,2380525,2,37
108,27,5,2,5,5,000000,2,37
138,19,3,1,3, ,2380673,2,38
40,35,4,2,4,4,2380489,1,38
77,42,1,1,1, ,2380692,1,39
118,25,4,2,4,4,2380711,2,39
112,21,1,1,1, ,2380698,2,40
32,18,5,2,5,5,2380709,2,40
115,19,7,2,7,7,2380637,1,40
96,38,1,1,1, ,2380696,2,41
117,17,4,2,4,4,2380637,1,41
136,20,4,2,4,4,2380445,2,41
76,16,3,1,3, ,2380626,2,43
88,31,3,1,3, ,2380537,1,45
61,22,4,2,4,4,2380483,1,46
