Control,Concheck,Precise,Price,Predict,PH,PL,RH,RL,PM1,PM2,PM3,PP1,PP2,PP3,PI1,PI2,PI3,Q97,Gender,Age,Edu,Income,MPP,MPI,Mpre
0,2,0,1,5, , ,1, ,5,6,5,5,6,5,5,6,5,有点不满意,0,33,3,4,5.33333333333333,5.33333333333333,5.33333333333333
0,2,1,1,6, , ,1, ,7,6,7,6,5,7,6,7,7,有点不满意,1,42,3,4,6,6.66666666666667,6.66666666666667
0,2,0,1,1, , ,1, ,5,5,5,4,3,3,4,3,3,有点不满意,1,42,3,4,3.33333333333333,3.33333333333333,5
0,2,0,1,4, , ,1, ,6,7,5,4,3,3,3,2,2,有点不满意,0,25,3,4,3.33333333333333,2.33333333333333,6
0,2,0,1,5, , ,1, ,6,5,5,5,4,4,4,4,3,有点不满意,0,52,3,4,4.33333333333333,3.66666666666667,5.33333333333333
0,2,0,1,6, , ,1, ,6,5,5,6,5,6,6,7,6,有点不满意,0,38,3,4,5.66666666666667,6.33333333333333,5.33333333333333
0,2,0,1,7, , ,1, ,5,5,6,5,6,6,5,6,6,有点不满意,0,34,3,4,5.66666666666667,5.66666666666667,5.33333333333333
0,2,0,1,5, , ,1, ,5,5,6,5,6,6,5,6,6,有点不满意,0,33,3,4,5.66666666666667,5.66666666666667,5.33333333333333
0,2,0,1,3, , ,1, ,3,3,4,4,4,5,2,2,1,有点不满意,0,27,4,4,4.33333333333333,1.66666666666667,3.33333333333333
0,2,0,1,5, , ,1, ,7,7,7,3,4,2,3,2,2,有点不满意,1,28,4,4,3,2.33333333333333,7
0,2,0,1,4, , ,1, ,6,5,4,6,5,6,5,6,5,有点不满意,0,32,4,5,5.66666666666667,5.33333333333333,5
0,2,0,1,5, , ,1, ,6,6,6,5,5,5,6,5,5,有点不满意,1,32,3,2,5,5.33333333333333,6
0,2,0,1,6, , ,1, ,6,7,6,5,6,6,6,6,7,有点不满意,0,49,2,2,5.66666666666667,6.33333333333333,6.33333333333333
0,2,0,1,2, , ,1, ,6,7,6,5,6,5,3,1,3,有点不满意,0,23,3,1,5.33333333333333,2.33333333333333,6.33333333333333
0,2,0,1,4, , ,1, ,6,6,6,5,6,6,4,3,3,有点不满意,0,19,3,1,5.66666666666667,3.33333333333333,6
0,2,0,1,4, , ,1, ,6,6,5,5,4,5,6,6,5,有点不满意,1,33,3,3,4.66666666666667,5.66666666666667,5.66666666666667
0,2,1,1,6, , ,1, ,6,7,6,6,7,6,5,6,6,有点不满意,0,30,3,3,6.33333333333333,5.66666666666667,6.33333333333333
0,2,0,1,6, , ,1, ,5,6,6,5,4,6,5,4,4,有点不满意,1,39,3,3,5,4.33333333333333,5.66666666666667
0,2,0,1,6, , ,1, ,5,6,5,6,5,5,6,5,5,有点不满意,1,27,3,3,5.33333333333333,5.33333333333333,5.33333333333333
0,2,0,1,4, , ,1, ,5,6,5,5,6,5,4,3,3,有点不满意,0,35,3,3,5.33333333333333,3.33333333333333,5.33333333333333
0,2,0,1,4, , ,1, ,7,5,6,5,6,6,6,5,5,有点不满意,0,25,3,3,5.66666666666667,5.33333333333333,6
0,2,0,1,5, , ,1, ,6,5,5,5,6,5,5,6,5,有点不满意,1,27,3,3,5.33333333333333,5.33333333333333,5.33333333333333
0,2,0,1,5, , ,1, ,6,5,6,5,5,6,6,6,5,有点不满意,0,32,3,3,5.33333333333333,5.66666666666667,5.66666666666667
0,2,0,1,6, , ,1, ,6,7,6,6,5,6,6,5,5,有点不满意,1,30,3,3,5.66666666666667,5.33333333333333,6.33333333333333
0,2,0,1,3, , ,1, ,7,6,5,5,5,6,6,5,5,有点不满意,0,45,3,3,5.33333333333333,5.33333333333333,6
0,2,0,1,5, , ,1, ,6,6,6,5,5,6,6,7,6,有点不满意,0,35,3,3,5.33333333333333,6.33333333333333,6
0,2,1,1,6, , ,1, ,6,7,5,5,6,6,5,6,6,有点不满意,0,24,4,3,5.66666666666667,5.66666666666667,6
0,2,1,1,6, , ,1, ,6,6,7,6,5,6,6,6,5,有点不满意,1,28,4,3,5.66666666666667,5.66666666666667,6.33333333333333
0,2,0,1,5, , ,1, ,3,3,2,2,2,3,3,2,1,有点不满意,0,25,4,3,2.33333333333333,2,2.66666666666667
0,2,0,1,2, , ,1, ,6,7,6,3,2,1,2,1,1,有点不满意,1,29,2,3,2,1.33333333333333,6.33333333333333
0,2,0,1,3, , ,1, ,6,7,5,5,4,5,5,4,4,有点不满意,1,53,2,3,4.66666666666667,4.33333333333333,6
0,3,1,1,6, , ,1, ,7,7,7,6,6,7,6,5,5,有点不满意,0,32,3,4,6.33333333333333,5.33333333333333,7
0,3,0,1,5, , ,1, ,5,5,6,5,6,5,5,6,5,有点不满意,0,37,3,5,5.33333333333333,5.33333333333333,5.33333333333333
0,3,0,1,4, , ,1, ,5,6,5,5,4,4,5,4,4,有点不满意,0,35,3,2,4.33333333333333,4.33333333333333,5.33333333333333
0,3,0,1,6, , ,1, ,4,5,5,5,6,5,5,4,5,有点不满意,0,28,3,3,5.33333333333333,4.66666666666667,4.66666666666667
0,3,0,1,5, , ,1, ,6,7,5,5,6,5,6,5,6,有点不满意,0,31,5,3,5.33333333333333,5.66666666666667,6
