control1,PC1,PC2,precise1,PM1,PM2,PM3,PP1,PP2,PP3,PI1,PI2,PI3,BrandR,BR1,BR2,BR3,BR4,Gender,Age,Edu,MPC,MPM,MPR,MBR,MPI,filter_$
0,5,5,1,3,4,2,4,3,5,5,4,4,0,2,3,2,2,2,30,4,5,3,4,2.25,4.33333333333333,1
0,5,5,1,5,4,6,4,4,5,5,5,6,0,3,4,3,3,2,36,2,5,5,4.33333333333333,3.25,5.33333333333333,1
0,5,4,1,5,7,6,5,4,7,3,5,4,0,6,2,3,5,1,26,3,4.5,6,5.33333333333333,4,4,1
0,3,2,1,5,4,4,5,4,6,4,3,3,0,4,3,1,2,2,33,3,2.5,4.33333333333333,5,2.5,3.33333333333333,1
0,5,4,1,5,6,5,4,5,5,4,6,4,0,4,5,5,4,2,25,3,4.5,5.33333333333333,4.66666666666667,4.5,4.66666666666667,1
0,3,2,1,5,6,4,4,3,4,4,3,5,0,2,3,2,2,2,24,4,2.5,5,3.66666666666667,2.25,4,1
0,3,3,1,5,4,4,4,4,3,4,3,3,0,3,4,4,3,1,32,3,3,4.33333333333333,3.66666666666667,3.5,3.33333333333333,1
0,1,2,1,7,2,7,6,3,1,7,7,6,0,1,1,1,2,2,25,3,1.5,5.33333333333333,3.33333333333333,1.25,6.66666666666667,1
0,6,4,1,6,2,4,6,3,4,5,3,5,0,5,3,4,6,1,29,3,5,4,4.33333333333333,4.5,4.33333333333333,1
0,3,2,1,6,3,4,5,5,6,5,6,5,0,6,6,5,6,2,30,2,2.5,4.33333333333333,5.33333333333333,5.75,5.33333333333333,1
1,5,5,1,7,7,4,5,4,4,3,3,3,0,1,1,1,1,1,35,2,5,6,4.33333333333333,1,3,1
0,2,3,1,7,7,6,5,5,5,4,4,4,0,1,3,3,2,1,27,3,2.5,6.66666666666667,5,2.25,4,1
0,1,4,1,7,7,7,7,3,6,4,6,6,0,3,3,2,2,1,46,2,2.5,7,5.33333333333333,2.5,5.33333333333333,1
0,4,7,1,5,4,5,3,3,5,6,5,5,0,7,6,6,5,1,18,3,5.5,4.66666666666667,3.66666666666667,6,5.33333333333333,1
0,5,5,1,4,7,5,3,2,5,4,5,6,0,1,2,1,3,1,35,3,5,5.33333333333333,3.33333333333333,1.75,5,1
0,2,3,1,4,5,5,5,4,4,4,6,4,0,1,2,1,2,1,28,3,2.5,4.66666666666667,4.33333333333333,1.5,4.66666666666667,1
1,2,5,1,6,6,4,4,3,4,3,2,2,0,1,1,1,1,2,39,3,3.5,5.33333333333333,3.66666666666667,1,2.33333333333333,1
0,4,2,1,5,2,3,4,3,6,2,4,6,0,4,2,4,5,1,45,1,3,3.33333333333333,4.33333333333333,3.75,4,1
0,3,4,1,3,4,4,5,3,3,4,5,3,0,4,5,3,5,2,29,3,3.5,3.66666666666667,3.66666666666667,4.25,4,1
1,2,1,1,7,6,4,2,4,1,2,5,1,0,2,1,2,1,1,43,3,1.5,5.66666666666667,2.33333333333333,1.5,2.66666666666667,1
0,6,6,1,6,5,6,7,5,6,4,5,6,0,7,4,3,6,1,33,3,6,5.66666666666667,6,5,5,1
1,2,4,1,4,5,3,5,4,5,3,3,2,0,1,4,2,1,1,20,3,3,4,4.66666666666667,2,2.66666666666667,1
0,5,6,1,5,4,6,5,3,5,6,5,4,0,6,6,5,4,1,35,4,5.5,5,4.33333333333333,5.25,5,1
0,6,7,1,4,5,5,6,4,5,5,4,4,0,3,5,6,4,1,20,3,6.5,4.66666666666667,5,4.5,4.33333333333333,1
