Control Group,Price Group,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q11,Q12_1,Q12_2,Q12_3,Q13,Sex,Age,Edu,Income,Perceive Control,Precise Price,Purchase Intention,Plausibility
0,1,3,2,2,3,6,5,5,5,4,5,6,5,5,5,男,23,硕士,2000-4999元,2.5,5.333333333,4.666666667,5.333333333
1,1,7,7,7,7,7,6,7,6,7,6,7,6,7,3,男,30,本科,10000-19999元,7,6.666666667,6.333333333,6.666666667
0,1,2,1,2,1,6,5,7,7,5,6,6,5,7,5,男,32,硕士,5000-9999元,1.5,6,6,6
1,1,6,7,7,6,6,7,6,7,6,6,6,7,6,5,女,44,高中及以下,2000-4999元,6.5,6.333333333,6.333333333,6.333333333
0,1,2,3,2,3,6,7,6,6,5,6,6,5,6,4,男,36,硕士,10000-19999元,2.5,6.333333333,5.666666667,5.666666667
0,1,1,2,1,2,5,5,6,6,5,6,6,5,6,4,男,28,本科,5000-9999元,1.5,5.333333333,5.666666667,5.666666667
0,1,2,1,2,1,6,7,6,7,7,6,6,7,7,3,男,37,本科,5000-9999元,1.5,6.333333333,6.666666667,6.666666667
1,1,7,7,7,7,6,7,6,5,5,6,6,5,5,5,男,38,博士及以上,20000元以上,7,6.333333333,5.333333333,5.333333333
0,0,2,1,1,2,7,7,6,6,5,7,7,6,6,5,男,36,本科,10000-19999元,1.5,6.666666667,6,6.333333333
0,1,2,1,2,1,6,5,7,6,5,7,6,5,6,4,女,26,本科,5000-9999元,1.5,6,6,5.666666667
0,1,1,2,1,1,1,2,2,1,2,1,1,1,1,7,男,20,本科,2000元以下,1.25,1.666666667,1.333333333,1
1,1,7,6,7,7,7,6,7,5,6,5,5,6,5,5,男,30,本科,5000-9999元,6.75,6.666666667,5.333333333,5.333333333
0,1,1,1,1,1,6,6,7,5,6,6,6,5,5,5,女,36,本科,10000-19999元,1,6.333333333,5.666666667,5.333333333
1,0,6,7,5,5,6,7,6,6,5,5,6,5,5,5,女,25,专科,5000-9999元,5.75,6.333333333,5.333333333,5.333333333
0,1,1,1,1,1,5,5,5,1,1,1,5,5,4,5,女,20,本科,2000元以下,1,5,1,4.666666667
1,1,5,6,4,5,5,6,5,5,6,6,6,5,5,4,男,53,本科,10000-19999元,5,5.333333333,5.666666667,5.333333333
1,1,7,6,6,6,7,5,6,5,5,6,7,6,6,5,男,21,本科,5000-9999元,6.25,6,5.333333333,6.333333333
1,1,5,6,6,5,6,6,7,5,4,6,5,6,5,4,女,28,本科,5000-9999元,5.5,6.333333333,5,5.333333333
1,1,6,7,7,7,5,7,7,5,6,6,6,6,6,4,女,38,专科,2000-4999元,6.75,6.333333333,5.666666667,6
0,1,1,1,1,2,7,6,6,4,4,5,6,5,5,4,女,38,本科,10000-19999元,1.25,6.333333333,4.333333333,5.333333333
1,1,7,6,6,7,5,3,3,4,3,3,4,4,3,6,女,27,本科,2000-4999元,6.5,3.666666667,3.333333333,3.666666667
1,1,6,7,6,6,5,6,5,5,5,6,6,6,7,6,男,36,本科,10000-19999元,6.25,5.333333333,5.333333333,6.333333333
0,1,2,2,7,7,6,6,7,5,6,6,6,5,6,5,女,52,本科,5000-9999元,4.5,6.333333333,5.666666667,5.666666667
0,1,1,1,1,1,5,5,5,4,4,4,5,5,5,5,男,29,硕士,10000-19999元,1,5,4,5
0,0,1,1,1,1,6,6,6,7,6,7,7,6,7,4,女,31,本科,10000-19999元,1,6,6.666666667,6.666666667
1,0,6,6,7,6,6,6,7,5,5,6,6,5,6,4,女,25,本科,5000-9999元,6.25,6.333333333,5.333333333,5.666666667
0,0,2,1,2,3,7,6,6,6,5,7,6,7,5,4,男,26,专科,5000-9999元,2,6.333333333,6,6
1,0,7,7,6,7,6,5,6,5,6,6,6,5,5,4,男,27,本科,2000-4999元,6.75,5.666666667,5.666666667,5.333333333
