控制感,精确性,PC1,PC2,PC3,PM1,PM2,PM3,PR1,PR2,PR3,PR4,PI1,PI2,PI3,PI4,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,gender,age,PC3【转换后】,MPR,MPC,MPM
0,0,4,4,5,5,5,5,5,5,5,5,3,5,4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,5,4,5
0,0,7,5,5,6,6,3,4,5,5,5,5,4,5,4,1,3,5,1,1,3,2,4,1,3,1,1,1,1,1,1,1,1,1,1,2,2,3,4.75,6,5
0,0,6,6,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,2,6,4,6,4
0,0,3,3,6,6,2,2,2,4,2,3,3,6,5,2,2,4,2,2,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2.75,3,3.33333333333333
0,0,4,3,6,5,4,4,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,4,4,3,3,3,4,2,1,2,1,1,2,2,3,3.5,4.33333333333333
0,0,7,7,7,7,7,6,1,2,3,3,3,7,7,7,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,2,1,1,2.25,7,6.66666666666667
0,0,6,6,6,7,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,4,2,4,4,2,2,1,1,1,1,1,1,1,1,2,2,2,6,6,6.33333333333333
0,0,2,3,6,6,6,6,3,3,3,4,2,2,6,3,2,3,4,2,2,4,4,4,3,4,2,2,2,2,2,1,1,1,1,1,2,2,2,3.25,2.5,6
0,0,6,7,4,4,5,5,5,4,6,4,2,5,5,4,1,2,2,2,2,3,3,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4.75,6.5,4.66666666666667
0,0,2,2,2,5,4,4,5,4,4,5,5,5,5,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,2,6,4.5,2,4.33333333333333
0,0,3,3,2,5,5,5,5,5,5,5,6,6,3,4,2,4,3,2,2,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,2,6,5,3,5
0,0,3,3,5,3,5,5,5,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,1,2,3,5.75,3,4.33333333333333
0,0,5,5,3,7,7,7,5,4,5,5,4,3,3,1,1,5,3,3,3,4,4,4,4,4,2,2,2,2,2,2,2,1,1,1,1,1,5,4.75,5,7
0,0,5,5,3,6,5,6,5,5,5,5,3,3,3,3,1,4,3,1,1,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,2,5,5,5,5.66666666666667
0,0,7,6,5,5,5,6,6,6,6,6,7,7,7,6,3,4,4,3,3,4,3,4,4,2,2,2,2,2,1,1,1,1,1,1,1,2,3,6,6.5,5.33333333333333
0,0,2,3,6,3,5,2,5,4,2,6,3,2,2,2,1,3,2,1,3,3,4,2,3,4,2,2,2,1,1,3,1,1,1,1,1,2,2,4.25,2.5,3.33333333333333
0,0,3,3,4,6,6,6,6,6,5,5,4,3,3,2,1,3,2,3,3,3,4,3,4,4,1,1,1,1,1,1,1,1,1,1,2,2,4,5.5,3,6
0,0,5,5,6,6,5,5,5,5,5,3,6,7,5,5,2,4,3,2,1,4,2,3,1,3,3,3,2,1,1,2,1,1,1,1,1,2,2,4.5,5,5.33333333333333
