HP1,HP2,HP3,HP4,UP1,UP2,UP3,UP4,MHP,MUP,age,gender
6,7,6,6,3,2,4,4,6.25,3.25,1,1
3,4,4,3,4,4,2,3,3.5,3.25,3,1
7,6,7,7,5,7,7,5,6.75,6,1,1
1,3,4,2,3,2,3,1,2.5,2.25,2,1
6,7,4,7,5,6,5,6,6,5.5,1,1
7,5,5,7,6,6,5,7,6,6,1,1
6,4,6,7,7,7,5,6,5.75,6.25,2,1
6,6,5,7,7,6,4,6,6,5.75,2,1
7,4,5,7,7,7,6,6,5.75,6.5,1,1
4,4,3,4,2,4,4,3,3.75,3.25,2,1
7,7,6,5,6,6,7,5,6.25,6,1,1
7,7,6,6,7,5,5,7,6.5,6,2,1
6,7,7,5,5,5,7,6,6.25,5.75,1,1
7,7,7,5,7,5,6,6,6.5,6,2,1
6,7,5,6,4,6,6,6,6,5.5,1,2
5,4,7,4,6,6,5,4,5,5.25,2,2
5,6,6,5,6,7,7,4,5.5,6,2,2
2,1,3,3,2,2,2,1,2.25,1.75,1,2
7,7,7,7,5,7,7,4,7,5.75,2,2
2,2,3,1,1,4,2,2,2,2.25,2,2
6,6,7,7,6,7,7,6,6.5,6.5,2,2
7,7,4,5,5,6,6,7,5.75,6,2,2
5,6,6,5,5,5,5,6,5.5,5.25,3,2
7,6,7,7,4,6,7,7,6.75,6,3,2
6,7,6,6,7,7,5,7,6.25,6.5,2,2
5,6,7,6,5,1,5,2,6,3.25,3,2
6,5,6,7,4,2,4,2,6,3,3,2
6,5,6,5,5,1,3,4,5.5,3.25,2,2
6,6,6,6,4,2,3,1,6,2.5,2,2
5,4,5,4,4,4,3,4,4.5,3.75,1,2
6,5,3,5,5,2,4,3,4.75,3.5,2,2
